model,model_id,pooling_strategy,language,category,category_text,emotion,condition,condition_emotion,emotion_strategy,emotion_terms,condition_emotion_terms,neutral_strategy,neutral_terms,candidate,candidate_category,candidate_source,rank,cosine_similarity,projection_on_emotion_direction,same_category,candidate_identical_to_category,candidate_contains_emotion,average_similarity_top_k,average_projection_top_k,category_retention_at_k,direction_norm,query_norm
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,disgust,vocabulary,disgust,6,0.4056515097618103,0.048282690346241,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cuisine,vocabulary,cuisine,7,0.40267235040664673,-0.0646258294582367,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feel,vocabulary,feel,8,0.4012201428413391,0.2888107895851135,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foodie,vocabulary,foodie,9,0.4008037745952606,0.053627222776412964,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,sadness,shuffled_emotion,disgust,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foodies,vocabulary,foodies,10,0.38567253947257996,0.08051857352256775,False,False,False,0.4277864098548889,0.13508024848997593,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foods,vocabulary,foods,1,0.4890596866607666,-0.03769002854824066,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,eating,vocabulary,eating,2,0.46919530630111694,0.15577340126037598,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feeling,vocabulary,feeling,3,0.4643048644065857,0.3581167161464691,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cooking,vocabulary,cooking,4,0.43798261880874634,0.09465567767620087,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feelings,vocabulary,feelings,5,0.42130130529403687,0.2923387289047241,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
