model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
arctic_embed_l_v2,en,place,fear,centroid_phrases,neutral_centroid,0.27220488525927067,0.02355467211455106,0.01746543981134891,0.11597962714731694,0.2486502131447196,0.25473944544792176,0.15622525811195373
arctic_embed_l_v2,en,place,joy,centroid_phrases,neutral_centroid,0.2181207025423646,0.00034150108695031026,0.0012245979160070495,0.12547909338027238,0.2177792014554143,0.21689610462635756,0.09264160916209221
arctic_embed_l_v2,en,place,love,centroid_phrases,neutral_centroid,0.2599060381762683,0.005550298746675241,0.01072827754542231,0.17217852836474773,0.25435573942959305,0.24917776063084598,0.08772750981152055
arctic_embed_l_v2,en,place,negative,centroid_phrases,neutral_centroid,0.20643964884802699,0.006492820288985972,-0.0011823837645351895,0.21830383790656924,0.199946828559041,0.20762203261256218,-0.011864189058542252
arctic_embed_l_v2,en,place,positive,centroid_phrases,neutral_centroid,0.15624310411512848,-0.011589402519166452,-0.004361137468367822,0.17300097551196814,0.16783250663429494,0.16060424158349632,-0.016757871396839652
arctic_embed_l_v2,en,place,sadness,centroid_phrases,neutral_centroid,0.22375715114176273,0.012085918802768002,0.00676859067752957,0.10542572177946567,0.21167123233899474,0.21698856046423315,0.11833142936229706
arctic_embed_l_v2,en,situation,amusement,centroid_phrases,neutral_centroid,0.15547850802540777,-0.059588253870606386,-0.0566000993363559,0.15325660333037375,0.21506676189601415,0.21207860736176368,0.002221904695034027
arctic_embed_l_v2,en,situation,anger,centroid_phrases,neutral_centroid,0.1944273141212761,-0.10828469423577185,-0.10449992446228859,0.18064797790721054,0.3027120083570479,0.2989272385835647,0.013779336214065546
arctic_embed_l_v2,en,situation,disgust,centroid_phrases,neutral_centroid,0.12846387661993502,-0.11415697075426574,-0.11213065199553962,0.11155357882380483,0.24262084737420075,0.24059452861547465,0.016910297796130194
arctic_embed_l_v2,en,situation,excitement,centroid_phrases,neutral_centroid,0.1722805332392454,-0.06893187984824177,-0.0672253422439098,0.16748275468125934,0.24121241308748714,0.2395058754831552,0.004797778557986049
arctic_embed_l_v2,en,situation,fear,centroid_phrases,neutral_centroid,0.24128345442004498,-0.10667373421601949,-0.10486931274645028,0.10950811211951075,0.34795718863606445,0.34615276716649523,0.13177534230053423
arctic_embed_l_v2,en,situation,joy,centroid_phrases,neutral_centroid,0.21522112246602773,-0.07092073503881689,-0.07092073503881689,0.1749395119026303,0.2861418575048446,0.2861418575048446,0.040281610563397435
arctic_embed_l_v2,en,situation,love,centroid_phrases,neutral_centroid,0.23216170519590373,-0.10112035050988193,-0.0995408087968826,0.17066467627882956,0.3332820557057857,0.33170251399278633,0.061497028917074176
arctic_embed_l_v2,en,situation,negative,centroid_phrases,neutral_centroid,0.1671008290722966,-0.10375018101185556,-0.10536521207541223,0.12343225870281456,0.27085101008415213,0.27246604114770884,0.04366857036948203
arctic_embed_l_v2,en,situation,positive,centroid_phrases,neutral_centroid,0.18765489757061005,-0.07251509726047513,-0.06342453397810456,0.19962690100073813,0.26016999483108516,0.2510794315487146,-0.011972003430128081
arctic_embed_l_v2,en,situation,sadness,centroid_phrases,neutral_centroid,0.12089977730065585,-0.10978706087917085,-0.11706350650638338,0.11772947609424592,0.23068683817982671,0.23796328380703924,0.003170301206409931
