model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,pl,place,joy,centroid_phrases,neutral_centroid,0.02516595143824814,0.00050524128600955,0.0068053063936531506,0.02516595143824814,0.024660710152238592,0.01836064504459499,0.0
bielik_1_5b_v3,pl,place,sadness,centroid_phrases,neutral_centroid,0.03463415866717695,0.00877866884693504,0.01738293590024114,0.043669520784169406,0.02585548982024191,0.01725122276693581,-0.009035362116992456
bielik_1_5b_v3,pl,situation,anger,centroid_phrases,neutral_centroid,0.055567295756190994,0.006460689660161731,0.01964606791734695,0.055567295756190994,0.049106606096029265,0.03592122783884404,0.0
bielik_1_5b_v3,pl,situation,disgust,centroid_phrases,neutral_centroid,0.07356171212159093,0.018387299170717568,0.01838729917071757,0.06934164627455172,0.055174412950873365,0.05517441295087336,0.004220065847039212
bielik_1_5b_v3,pl,situation,joy,centroid_phrases,neutral_centroid,0.060448700119741225,0.011031816457398206,0.023681073565967357,0.060448700119741225,0.04941688366234302,0.03676762655377387,0.0
bielik_1_5b_v3,pl,situation,sadness,centroid_phrases,neutral_centroid,0.06320347823202607,0.01397380721755325,0.01644575293175876,0.06695356443524357,0.04922967101447282,0.04675772530026731,-0.003750086203217498
bielik_1_5b_v3,zh,food,anger,centroid_phrases,neutral_centroid,0.05831007016822694,-0.006300408486276851,-0.006300408486276851,0.044691239483654485,0.06461047865450378,0.06461047865450378,0.013618830684572453
bielik_1_5b_v3,zh,food,disgust,centroid_phrases,neutral_centroid,0.08356840088963503,0.015832834690809244,0.015832834690809244,0.07004979550838467,0.06773556619882579,0.06773556619882579,0.013518605381250368
bielik_1_5b_v3,zh,food,joy,centroid_phrases,neutral_centroid,0.07066149469465013,0.018714153580367567,0.013636164553463458,0.07590028997510669,0.051947341114282564,0.05702533014118667,-0.005238795280456551
bielik_1_5b_v3,zh,food,sadness,centroid_phrases,neutral_centroid,0.049009517394006205,-0.0039935065433383,0.009186691604554641,0.05750520359724755,0.053003023937344504,0.039822825789451566,-0.008495686203241343
bielik_1_5b_v3,zh,object,anger,centroid_phrases,neutral_centroid,0.08771438524127004,0.03253021836280822,0.03328638672828673,0.08254164084792134,0.05518416687846182,0.05442799851298331,0.005172744393348694
bielik_1_5b_v3,zh,object,disgust,centroid_phrases,neutral_centroid,0.07646750700660047,0.027448516385629763,0.022294735955074422,0.06952964500524103,0.04901899062097071,0.054172771051526056,0.006937862001359443
bielik_1_5b_v3,zh,object,joy,centroid_phrases,neutral_centroid,0.05954764739144595,0.013584560272283877,0.016394751635380116,0.05683336809743197,0.04596308711916207,0.04315289575606583,0.00271427929401398
bielik_1_5b_v3,zh,object,sadness,centroid_phrases,neutral_centroid,0.07286644154228268,0.02912650355137885,0.024119562702253468,0.074894179450348,0.04373993799090383,0.04874687884002921,-0.002027737908065319
bielik_1_5b_v3,zh,person,anger,centroid_phrases,neutral_centroid,0.2662456899881363,0.18064360767602916,0.18974398821592328,0.2330392628908157,0.08560208231210714,0.07650170177221302,0.03320642709732061
bielik_1_5b_v3,zh,person,disgust,centroid_phrases,neutral_centroid,0.26779562830924986,0.17740025222301478,0.17740025222301478,0.25287289321422574,0.09039537608623507,0.09039537608623507,0.01492273509502412
bielik_1_5b_v3,zh,person,joy,centroid_phrases,neutral_centroid,0.2705683514475822,0.18296620845794673,0.18296620845794673,0.28080317527055737,0.08760214298963545,0.08760214298963545,-0.010234823822975192
bielik_1_5b_v3,zh,person,sadness,centroid_phrases,neutral_centroid,0.23016933649778365,0.16458720564842222,0.16458720564842222,0.2488430306315422,0.06558213084936143,0.06558213084936143,-0.01867369413375855
bielik_1_5b_v3,zh,place,anger,centroid_phrases,neutral_centroid,0.062431233888491956,0.015318557713180761,-0.0006379957310855486,0.06081219292245801,0.047112676175311195,0.0630692296195775,0.0016190409660339494
